"country","gold","silver","bronze"
"USA",7914,4923,4074
"Russia",4797,3510,3534
"Germany",3903,3585,3780
"UK",2034,2217,1953
"Italy",1725,1593,1593
"France",1503,1830,1998
"Sweden",1437,1566,1605
"Canada",1389,1314,1353
"Hungary",1296,996,1113
"Norway",1134,1083,882
"Australia",1104,1377,1566
"China",1053,1047,879
"Netherlands",861,1020,1239
"Japan",741,927,1071
"South Korea",663,696,555
"Finland",594,810,1296
"Denmark",537,723,531
"Switzerland",525,744,804
"Cuba",492,387,348
"Romania",483,600,876
"Serbia",471,666,480
"India",414,57,120
"Czech Republic",369,786,777
"Poland",351,585,759
"Spain",330,729,408
"Brazil",327,525,573
"Austria",324,558,468
"Belgium",294,591,519
"Argentina",273,276,273
"New Zealand",270,168,246
"Greece",186,327,252
"Croatia",174,162,111
"Bulgaria",162,432,432
"Ukraine",141,156,300
"Pakistan",126,135,102
"Turkey",120,81,84
"Jamaica",114,225,132
"Kenya",102,123,93
"South Africa",96,141,156
"Uruguay",93,6,90
"Mexico",90,78,162
"Belarus",72,132,213
"Nigeria",69,90,138
"Ethiopia",66,27,66
"Kazakhstan",60,75,96
"Cameroon",60,3,3
"Iran",54,63,87
"Zimbabwe",51,12,3
"North Korea",48,48,105
"Slovakia",45,57,39
"Iceland",45,0,6
"Bahamas",42,33,45
"Peru",42,0,3
"Estonia",39,36,75
"Indonesia",33,51,39
"Malaysia",33,0,15
"Uzbekistan",30,21,51
"Ireland",27,39,39
"Thailand",27,24,39
"Slovenia",24,39,81
"Georgia",24,18,54
"Azerbaijan",21,36,75
"Trinidad",21,24,66
"Egypt",21,24,36
"Lithuania",18,21,144
"Morocco",18,15,36
"Colombia",15,27,42
"Algeria",15,12,24
"Portugal",12,33,78
"Luxembourg",12,0,12
"Taiwan",9,84,54
"Latvia",9,57,39
"Chile",9,27,60
"Tunisia",9,9,21
"Dominican Republic",9,6,6
"Philippines",9,0,21
"Moldova",9,0,15
"Vietnam",9,0,3
"Mongolia",6,30,42
"Armenia",6,15,27
"Venezuela",6,9,30
"Uganda",6,9,6
"Liechtenstein",6,6,15
"Lebanon",6,0,6
"Puerto Rico",3,6,18
"Syria",3,6,6
"Israel",3,3,21
"Haiti",3,3,15
"Individual Olympic Athletes",3,3,9
"Costa Rica",3,3,6
"Tajikistan",3,3,6
"Bahrain",3,3,3
"Ivory Coast",3,3,3
"Ghana",3,0,66
"Saudi Arabia",3,0,15
"Qatar",3,0,12
"Kyrgyzstan",3,0,6
"Panama",3,0,6
"Burundi",3,0,3
"Ecuador",3,0,3
"United Arab Emirates",3,0,3
"Grenada",3,0,3
"Niger",3,0,3
"Zambia",3,0,3
"Mozambique",3,0,3
"Suriname",3,0,3
"Paraguay",0,0,51
"Montenegro",0,0,42
"Fiji",0,0,39
"Namibia",0,0,12
"Sri Lanka",0,0,6
"Afghanistan",0,0,6
"Kuwait",0,0,6
"Tanzania",0,0,6
"Kosovo",0,0,3
"Guatemala",0,0,3
"Gabon",0,0,3
"Eritrea",0,0,3
"Nepal",0,0,3
"Senegal",0,0,3
"Djibouti",0,0,3
"Cyprus",0,0,3
"Monaco",0,0,3
"Curacao",0,0,3
"Guyana",0,0,3
"Sudan",0,0,3
"Mauritius",0,0,3
"Togo",0,0,3
"Tonga",0,0,3
"Macedonia",0,0,3
"Botswana",0,0,3
"Bermuda",0,0,3
"Barbados",0,0,3
"Iraq",0,0,3
"Jordan",0,0,3
"Virgin Islands, US",0,0,3
